fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1971,1971,Financed by: Net borrowing from the banking system,,-5.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0739,-0.274,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Financed by: Net borrowing from the banking system,,25.0,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,0.33,1.1496,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
1962,1962,Financed by: Net borrowing from the banking system,Change in holdings of bonds,0.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0,0.0,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Financed by: Net borrowing from the banking system,Change in holdings of bonds,0.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0092,0.0406,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Financed by: Net borrowing from the banking system,Change in holdings of bonds,0.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0092,0.0391,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Financed by: Net borrowing from the banking system,Change in holdings of bonds,1.9,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0251,0.1039,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Financed by: Net borrowing from the banking system,Change in holdings of bonds,-0.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.004,-0.0165,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Financed by: Net borrowing from the banking system,Change in holdings of bonds,4.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0554,0.2268,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Financed by: Net borrowing from the banking system,Change in holdings of bonds,5.0,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.066,0.2681,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Financed by: Net borrowing from the banking system,Change in holdings of bonds,7.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.103,0.4044,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
